,city,region,type_of_settlements,year,population,latitude_point,longitude_point
74,Лавки (село),zakarpat,vilage,936.0,1299.0,48.480000000000004,22.694444444444446
75,Вишгород,,city,946.0,30997.0,50.58722222222222,30.48888888888889
76,Тисмениця,,city,950.0,9325.0,48.901944444444446,24.848055555555554
77,Келихів,ivan_frank,vilage,950.0,410.0,48.49,25.33611111111111
78,Лютіж (Вишгородський район),kyiv,vilage,975.0,2282.0,50.68472222222222,30.394444444444446
79,Олевськ,,city,977.0,10389.0,51.22777777777778,27.648055555555555
80,Овруч,,city,977.0,15795.0,51.324444444444445,28.808055555555555
81,Долина (місто),,city,979.0,20619.0,48.98083333333334,24.0025
82,Пухівка,kyiv,vilage,980.0,1996.0,50.605555555555554,30.71333333333333
83,Русанів,kyiv,vilage,980.0,1685.0,50.50055555555556,31.163055555555555
84,Ізяслав,,city,987.0,16336.0,50.11888888888889,26.82138888888889
85,Лубни,,city,988.0,46161.0,50.01611111111111,32.98861111111111
86,Володимир-Волинський,,city,988.0,38901.0,50.84805555555556,24.322222222222223
87,Васильків,,city,988.0,37310.0,50.186388888888885,30.330555555555556
88,Сенча,poltava,vilage,989.0,3037.0,50.25527777777778,33.36527777777778
89,Чорногородка,kyiv,vilage,991.0,619.0,50.22222222222222,29.96861111111111
90,Глухів,,city,992.0,33548.0,51.67472222222222,33.913333333333334
91,Нижній Березів,ivan_frank,vilage,993.0,1231.0,48.402499999999996,24.851944444444445
92,Середній Березів,ivan_frank,vilage,994.0,1457.0,48.420833333333334,24.809166666666666
93,Полонне,,city,996.0,20620.0,50.11666666666667,27.516666666666666
94,Виноградів,,city,1000.0,25395.0,48.14972222222222,23.025
95,Глещава,ternopil,vilage,1000.0,779.0,49.30277777777778,25.86777777777778
96,Застугна (Обухівський район),kyiv,vilage,1000.0,50.0,50.14055555555556,30.488333333333333
97,Копачів (Обухівський район),kyiv,vilage,1000.0,477.0,50.119166666666665,30.485
98,Сколе,,city,1000.0,6269.0,49.03777777777778,23.51388888888889
99,Будятичі,Volins,vilage,1000.0,636.0,50.7075,24.175
100,Ростань,Volins,vilage,1000.0,410.0,51.597500000000004,23.698055555555555
101,Турка,,city,1000.0,7153.0,49.1575,23.022499999999997
102,Більче-Золоте,ternopil,vilage,1000.0,1785.0,48.774166666666666,25.876944444444444
103,Алупка,,city,1000.0,8528.0,44.42166666666667,34.04722222222222
104,Хотин,,city,1002.0,16857.0,48.50944444444445,26.491944444444446
105,Лючки,ivan_frank,vilage,1005.0,535.0,48.43388888888889,24.747222222222224
106,Висоцьк (Дубровицький район),rivne,vilage,1005.0,1999.0,51.72166666666667,26.65083333333333
107,Дубровиця,,city,1005.0,9394.0,51.56666666666667,26.566666666666666
108,Семигинів,lviv,vilage,1015.0,1513.0,49.15333333333333,23.737222222222222
109,Бориспіль,,city,1015.0,63169.0,50.35111111111111,30.950833333333332
110,Велика Мотовилівка,kyiv,vilage,1018.0,1321.0,50.135555555555555,30.08972222222222
111,Лісок (Золочівський район),lviv,vilage,1021.0,360.0,49.933055555555555,24.45611111111111
112,Демидів (Вишгородський район),kyiv,vilage,1026.0,3.0,50.727222222222224,30.327222222222222
113,Андріївка (Бучанський район),kyiv,vilage,1027.0,1082.0,50.55138888888889,29.836666666666666
114,Белз,,city,1030.0,2267.0,50.38,24.001666666666665
115,Трипілля,kyiv,vilage,1032.0,3001.0,50.115,30.77638888888889
116,Корсунь-Шевченківський,,city,1032.0,22.0,49.419444444444444,31.27722222222222
117,Богуслав,,city,1032.0,16190.0,49.54666666666667,30.872777777777777
118,Біла Церква,,city,1032.0,208737.0,49.79555555555555,30.116666666666667
119,Молошковичі,lviv,vilage,1036.0,678.0,49.886944444444445,23.55611111111111
120,Деремезна,kyiv,vilage,1038.0,433.0,50.01166666666666,30.50111111111111
121,Селезівка,zitomer,vilage,1039.0,249.0,51.535,28.107222222222223
122,Новгород-Сіверський,,city,1044.0,13031.0,51.983333333333334,33.266666666666666
123,Козіївка (Обухівський район),kyiv,vilage,1050.0,117.0,50.077222222222225,30.690833333333334
124,Нагуєвичі,lviv,vilage,1050.0,2518.0,49.36194444444445,23.320555555555554
125,Карапиші,kyiv,vilage,1050.0,3081.0,49.65222222222222,30.781666666666666
126,Оксанівка,Vinitsa,vilage,1050.0,40.0,48.2325,28.191666666666666
127,Гульськ,zitomer,vilage,1050.0,1360.0,50.51916666666666,27.72111111111111
128,Городище (місто),,city,1050.0,13984.0,49.2925,31.458055555555553
129,Красне Перше (Обухівський район),kyiv,vilage,1050.0,465.0,50.07833333333333,30.673055555555557
130,Мединя,ivan_frank,vilage,1054.0,1511.0,49.09166666666667,24.576944444444443
131,Дібрівка (Тетіївський район),kyiv,vilage,1054.0,1437.0,49.31888888888889,29.759166666666665
132,Грицеволя,lviv,vilage,1056.0,554.0,50.21472222222223,24.96611111111111
133,Берегове,,city,1063.0,23732.0,48.2025,22.6375
134,Стіжок,ternopil,vilage,1064.0,368.0,50.17972222222222,25.865833333333335
135,Лисятичі,lviv,vilage,1070.0,3124.0,49.334722222222226,23.95861111111111
136,Білилівка,zitomer,vilage,1071.0,2193.0,49.67611111111111,29.008333333333333
137,Ніжин,,city,1078.0,67100.0,51.04277777777778,31.87361111111111
138,Канів,,city,1078.0,23742.0,49.74472222222222,31.45583333333333
139,Дрогобич,,city,1081.0,74610.0,49.35,23.5
140,Хорол (місто),,city,1083.0,13160.0,49.782222222222224,33.27388888888889
141,Дорогобуж (село),rivne,vilage,1084.0,663.0,50.61888888888889,26.56638888888889
142,Броди,,city,1084.0,23454.0,50.07805555555556,25.154166666666665
143,Луцьк,,city,1085.0,217197.0,50.74777777777778,25.324444444444445
144,Прилуки,,city,1085.0,56270.0,50.58916666666667,32.385555555555555
145,Біще,ternopil,vilage,1086.0,464.0,49.55027777777777,24.905277777777776
146,Хуст,,city,1090.0,28321.0,48.174166666666665,23.289722222222224
147,Піски (Миргородський район),poltava,vilage,1092.0,2509.0,50.37555555555556,33.44833333333333
148,Сокиринці (Прилуцький район),chernihiv,vilage,1092.0,1386.0,50.698611111111106,32.791666666666664
149,Переволочна (Прилуцький район),chernihiv,vilage,1092.0,689.0,50.63666666666666,32.661944444444444
150,Іванковичі,kyiv,vilage,1093.0,3000.0,50.27638888888889,30.42638888888889
151,Халеп'я,kyiv,vilage,1093.0,750.0,50.1025,30.82027777777778
152,Малополовецьке,kyiv,vilage,1094.0,1244.0,49.92166666666667,29.820833333333333
153,Побужани,lviv,vilage,1094.0,1040.0,50.01416666666667,24.559722222222224
154,Проців,kyiv,vilage,1096.0,1047.0,50.23555555555556,30.78611111111111
155,Вороньків,kyiv,vilage,1096.0,4100.0,50.21472222222223,30.899722222222223
156,Ромни,,city,1096.0,40497.0,50.74277777777778,33.48777777777778
157,Германівка (Обухівський район),kyiv,vilage,1096.0,1667.0,49.99305555555556,30.55611111111111
158,Буськ,,city,1097.0,8554.0,49.968333333333334,24.608333333333334
159,Перемиль,Volins,vilage,1097.0,1041.0,50.39611111111111,25.164166666666667
160,Теребовля,,city,1097.0,13515.0,49.300555555555555,25.699444444444445
161,Шепель (село),Volins,vilage,1097.0,455.0,50.785555555555554,25.123333333333335
162,Сокаль,,city,1098.0,20986.0,50.483333333333334,24.283333333333335
163,Остер (місто),,city,1098.0,6092.0,50.95472222222222,30.87361111111111
164,Кобижча,chernihiv,vilage,1100.0,3440.0,50.83555555555556,31.509166666666665
165,Боремель,rivne,vilage,1100.0,854.0,50.476111111111116,25.179722222222225
166,Бурківка (Ніжинський район),chernihiv,vilage,1100.0,476.0,51.115833333333335,32.106944444444444
167,Острог,,city,1100.0,15674.0,50.32916666666667,26.51972222222222
168,Корець,,city,1100.0,7245.0,50.617222222222225,27.160833333333333
169,Замчисько,rivne,vilage,1100.0,63.0,50.31027777777778,25.694444444444446
